iata,name,city,state,country,latitude,longitude,num_of_connections,CANCELLED,num_of_flights,perc_cancelled
CHS,Charleston AFB/International,Charleston,SC,USA,32.89864639,-80.04050583,30,899,23941,3.8
CID,Eastern Iowa,Cedar Rapids,IA,USA,41.88458833,-91.71087222,15,182,9232,2.0
CIU,Chippewa County International,Sault Ste. Marie,MI,USA,46.25075194,-84.47238528,2,15,673,2.2
CKB,Benedum,Clarksburg,WV,USA,39.29663889,-80.22808333,4,19,807,2.4
CLE,Cleveland-Hopkins Intl,Cleveland,OH,USA,41.41089417,-81.84939667,49,987,48385,2.0
CLL,Easterwood,College Station,TX,USA,30.58858944,-96.36382417,2,53,2312,2.3
CLT,Charlotte/Douglas International,Charlotte,NC,USA,35.21401111,-80.94312583,136,6039,233317,2.6
CMH,Port Columbus Intl,Columbus,OH,USA,39.99798528,-82.89188278,36,945,45805,2.1
CMI,University of Illinois-Willard,Champaign/Urbana,IL,USA,40.03925,-88.27805556,3,92,2368,3.9
CMX,Houghton County Memorial,Hancock,MI,USA,47.16841722,-88.48906083,1,35,725,4.8
CNY,Canyonlands,Moab,UT,USA,38.75495611,-109.7548439,1,3,420,0.7
COD,Yellowstone Regional,Cody,WY,USA,44.52019417,-109.02379609999998,2,10,822,1.2
COS,City of Colorado Springs Muni,Colorado Springs,CO,USA,38.80580556,-104.70025,17,144,10338,1.4
COU,Columbia Regional,Columbia,MO,USA,38.81809306,-92.21962917,3,57,2225,2.6
CPR,Natrona County Intl,Casper,WY,USA,42.90835556,-106.46446609999998,4,3,985,0.3
CRP,Corpus Christi International,Corpus Christi,TX,USA,27.77036083,-97.50121528,4,150,5562,2.7
CRW,Yeager,Charleston,WV,USA,38.37315083,-81.59318972,7,135,4632,2.9
CSG,Columbus Metropolitan,Columbus,GA,USA,32.51633333,-84.93886111,1,14,1277,1.1
CVG,Cincinnati Northern Kentucky Intl,Covington,KY,USA,39.04614278,-84.6621725,54,960,49594,1.9
CWA,Central Wisconsin,Mosinee,WI,USA,44.77761917,-89.66677944,3,75,2853,2.6
CYS,Cheyenne,Cheyenne,WY,USA,41.1557225,-104.8118381,1,1,58,1.7
DAB,Daytona Beach International,Daytona Beach,FL,USA,29.17991667,-81.05805556,3,54,3548,1.5
DAL,Dallas Love,Dallas,TX,USA,32.84711389,-96.85177222,59,1009,70995,1.4
DAY,James M Cox Dayton Intl,Dayton,OH,USA,39.90237583,-84.219375,17,413,14076,2.9
DBQ,Dubuque Municipal,Dubuque,IA,USA,42.40295944,-90.70916722,1,52,1009,5.2
DCA,Ronald Reagan Washington National,Arlington,VA,USA,38.85208333,-77.03772222,90,3862,132517,2.9
DEN,Denver Intl,Denver,CO,USA,39.85840806,-104.6670019,162,1595,235989,0.7
DFW,Dallas-Fort Worth International,Dallas-Fort Worth,TX,USA,32.89595056,-97.0372,170,5365,279298,1.9
DHN,Dothan,Dothan,AL,USA,31.32133917,-85.44962889,1,8,1374,0.6
DLG,Dillingham,Dillingham,AK,USA,59.0454125,-158.5033389,1,3,84,3.6
DLH,Duluth International,Duluth,MN,USA,46.84209028,-92.19364861,2,53,2798,1.9
DRO,Durango-La Plata County,Durango,CO,USA,37.15151667,-107.7537692,4,68,3125,2.2
DRT,Del Rio International,Del Rio,TX,USA,29.37181222,-100.9232339,1,1,114,0.9
DSM,Des Moines International,Des Moines,IA,USA,41.53493306,-93.66068222,26,209,15576,1.3
DTW,Detroit Metropolitan-Wayne County,Detroit,MI,USA,42.21205889,-83.34883583,112,1533,157518,1.0
DVL,Devils Lake Municipal-Knoke,Devils Lake,ND,USA,48.11424528,-98.90877833,2,26,626,4.2
EAR,Kearney Municipal,Kearney,NE,USA,40.72702778,-99.00677778,1,1,200,0.5
EAU,Chippewa Valley Regional,Eau Claire,WI,USA,44.86525722,-91.48507194,1,23,720,3.2
EGE,Eagle County Regional,Eagle,CO,USA,39.64256778,-106.9176953,14,63,2154,2.9
EKO,Elko Regional,Elko,NV,USA,40.82492611,-115.79169640000002,1,4,647,0.6
ELM,Elmira/Corning Regional,Elmira,NY,USA,42.15991361,-76.89144333,4,1,333,0.3
ELP,El Paso International,El Paso,TX,USA,31.80666667,-106.3778056,16,176,16982,1.0
ERI,Erie Intl,Erie,PA,USA,42.08202139,-80.17621556,3,6,1015,0.6
ESC,Delta County,Escanaba,MI,USA,45.72266972,-87.09373139,2,12,625,1.9
EUG,Mahlon Sweet,Eugene,OR,USA,44.12326,-123.2186856,10,21,4103,0.5
EVV,Evansville Regional,Evansville,IN,USA,38.03799139,-87.53062667,7,108,4618,2.3
EWN,Craven County Regional,New Bern,NC,USA,35.07297222,-77.04294444,2,112,2187,5.1
EWR,Newark Intl,Newark,NJ,USA,40.69249722,-74.16866056,95,4630,143875,3.2
EYW,Key West International,Key West,FL,USA,24.55611111,-81.75955556,8,58,4756,1.2
FAI,Fairbanks International,Fairbanks,AK,USA,64.8136775,-147.8596694,5,38,4456,0.9
FAR,Hector International,Fargo,ND,USA,46.91934889,-96.81498889,11,104,5752,1.8
FAT,Fresno Yosemite International,Fresno,CA,USA,36.77619444,-119.7181389,11,78,11124,0.7
FAY,Fayetteville Municipal,Fayetteville,NC,USA,34.99147222,-78.88,2,138,3898,3.5
FCA,Glacier Park Intl,Kalispell,MT,USA,48.31140472,-114.2550694,9,8,2377,0.3
FLG,Flagstaff Pulliam,Flagstaff,AZ,USA,35.13845472,-111.6712183,3,28,1190,2.4
FLL,Fort Lauderdale-Hollywood Int'l,Ft. Lauderdale,FL,USA,26.07258333,-80.15275,82,983,97513,1.0
FLO,Florence Regional,Florence,SC,USA,34.18536111,-79.72388889,1,3,170,1.8
FNT,Bishop,Flint,MI,USA,42.96550333,-83.74345639,12,86,4160,2.1
FSD,Joe Foss,Sioux Falls,SD,USA,43.58135111,-96.74170028,11,153,6359,2.4
FSM,Fort Smith Regional,Fort Smith,AR,USA,35.33659028,-94.36744111,2,36,2051,1.8
FWA,Fort Wayne International,Fort Wayne,IN,USA,40.97846583,-85.19514639,12,101,7081,1.4
GCC,Gillette-Campbell County,Gillette,WY,USA,44.34889806,-105.5393614,1,11,833,1.3
GCK,Garden City Regional,Garden City,KS,USA,37.92751556,-100.7244147,1,24,731,3.3
GEG,Spokane Intl,Spokane,WA,USA,47.61985556,-117.5338425,17,58,12348,0.5
GFK,Grand Forks International,Grand Forks,ND,USA,47.949255,-97.17611111,4,31,2106,1.5
GGG,Gregg County,Longview,TX,USA,32.38486111,-94.71171,1,29,803,3.6
GJT,Walker,Grand Junction,CO,USA,39.1224125,-108.5267347,9,32,3750,0.9
GNV,Gainesville Regional,Gainesville,FL,USA,29.69005556,-82.27177778,3,76,4492,1.7
GPT,Gulfport-Biloxi Regional,Gulfport-Biloxi,MS,USA,30.40728028,-89.07009278,5,71,4230,1.7
GRB,Austin Straubel International,Green Bay,WI,USA,44.48507333,-88.12959000000002,6,127,4846,2.6
GRI,Central Nebraska Regional,Grand Island,NE,USA,40.96747222,-98.30861111,3,21,1001,2.1
GRK,Robert Gray AAF,Killeen,TX,USA,31.06489778,-97.82779778,3,71,2999,2.4
GRR,Kent County International,Grand Rapids,MI,USA,42.88081972,-85.52276778,26,335,17340,1.9
GSO,Piedmont Triad International,Greensboro,NC,USA,36.09774694,-79.9372975,17,412,12974,3.2
GSP,Greenville-Spartanburg,Greer,SC,USA,34.89566722,-82.21885833,22,291,13624,2.1
GST,Gustavus,Gustavus,AK,USA,58.42438139,-135.7073814,1,2,84,2.4
GTF,Great Falls Intl,Great Falls,MT,USA,47.48200194,-111.3706853,8,6,1856,0.3
GTR,Golden Triangle Regional,Columbus-Starkville-West Point,MS,USA,33.45033444,-88.59136861,1,6,1021,0.6
GUC,Gunnison County,Gunnison,CO,USA,38.53396333,-106.9331817,2,4,230,1.7
GUM,Guam International,Agana,GU,USA,13.48345,-144.7959825,2,7,623,1.1
HDN,Yampa Valley,Hayden,CO,USA,40.48118028,-107.2176597,14,24,930,2.6
HGR,Hagerstown Regional-Richard Henson,Hagerstown,MD,USA,39.70794444,-77.7295,2,0,138,0.0
HHH,Hilton Head,,,USA,32.224384,-80.697629,1,30,535,5.6
HIB,Chisholm-Hibbing,Hibbing,MN,USA,47.38659917,-92.83899333,1,9,625,1.4
HLN,Helena Regional,Helena,MT,USA,46.60681806,-111.9827503,3,5,1811,0.3
HNL,Honolulu International,Honolulu,HI,USA,21.31869111,-157.92240719999995,28,134,49241,0.3
HOB,Lea County Regional,Hobbs,NM,USA,32.68752778,-103.2170278,1,3,677,0.4
HOU,William P Hobby,Houston,TX,USA,29.64541861,-95.27888889,57,878,57841,1.5
HPN,Westchester Cty,White Plains,NY,USA,41.06695778,-73.70757444,10,346,9875,3.5
HRL,Valley International,Harlingen,TX,USA,26.22850611,-97.65439389,7,41,3443,1.2
HSV,Huntsville International,Huntsville,AL,USA,34.6404475,-86.77310944,11,176,8619,2.0
HTS,Tri-State/Walker-Long,Huntington,WV,USA,38.36666667,-82.55802778,5,36,879,4.1
HVN,Tweed-New Haven,New Haven,CT,USA,41.26389889,-72.8871,2,109,1031,10.6
HYA,Barnstable Mun Boardman/Polando,Hyannis,MA,USA,41.66933639,-70.28035583,1,1,89,1.1
HYS,Hays Municipal,Hays,KS,USA,38.84494167,-99.27403361,2,23,1078,2.1
IAD,Washington Dulles International,Chantilly,VA,USA,38.94453194,-77.45580972,75,1075,68700,1.6
IAG,Niagara Falls Intl,Niagara Falls,NY,USA,43.10725861,-78.94538139,5,12,811,1.5
IAH,George Bush Intercontinental,Houston,TX,USA,29.98047222,-95.33972222,116,1812,173806,1.0
ICT,Wichita Mid-Continent,Wichita,KS,USA,37.64995889,-97.43304583,16,142,10538,1.3
IDA,Idaho Falls Regional,Idaho Falls,ID,USA,43.51455556,-112.07016670000002,7,5,2167,0.2
IFP,Laughlin/Bullhead International,Bullhead City,AZ,USA,35.15738889,-114.5595278,1,0,45,0.0
ILM,Wilmington International,Wilmington,NC,USA,34.27061111,-77.90255556,8,311,6585,4.7
IMT,Ford,Iron Mountain/Kingsford,MI,USA,45.81835417,-88.1145425,2,8,652,1.2
IND,Indianapolis International,Indianapolis,IN,USA,39.71732917,-86.29438417,46,824,48932,1.7
INL,Falls International,International Falls,MN,USA,48.56618722,-93.40306667,1,11,650,1.7
ISN,Sloulin Field International,Williston,ND,USA,48.17793861,-103.6423467,2,10,1378,0.7
ISP,Long Island - MacArthur,Islip,NY,USA,40.7952425,-73.10021194,14,197,6151,3.2
ITH,Tompkins Cty,Ithaca,NY,USA,42.49102778,-76.45844444,2,7,985,0.7
ITO,Hilo International,Hilo,HI,USA,19.72026306,-155.04847030000005,3,20,6230,0.3
JAC,Jackson Hole,Jackson,WY,USA,43.60732417,-110.7377389,13,33,4206,0.8
JAN,Jackson International,Jackson,MS,USA,32.31116667,-90.07588889,8,165,7746,2.1
JAX,Jacksonville International,Jacksonville,FL,USA,30.49405556,-81.68786111,40,544,31340,1.7
JFK,John F Kennedy Intl,New York,NY,USA,40.63975111,-73.77892556,71,3436,129684,2.6
JLN,Joplin Regional,Joplin,MO,USA,37.15181361,-94.49826833,1,22,805,2.7
JMS,Jamestown Municipal,Jamestown,ND,USA,46.92971944,-98.67819528,2,47,989,4.8
JNU,Juneau International,Juneau,AK,USA,58.35496194,-134.57627639999998,7,34,4407,0.8
KOA,Kona International At Keahole,Kailua/Kona,HI,USA,19.73876583,-156.0456314,16,75,15018,0.5
KTN,Ketchikan International,Ketchikan,AK,USA,55.35556861,-131.71374,4,23,2430,0.9
LAN,Capital City,Lansing,MI,USA,42.7787,-84.58735806,3,62,3513,1.8
LAR,Laramie Regional,Laramie,WY,USA,41.31205,-105.6749864,1,7,625,1.1
LAS,McCarran International,Las Vegas,NV,USA,36.08036111,-115.15233329999998,117,1124,161113,0.7
LAW,Lawton-Ft Sill Regional,Lawton,OK,USA,34.56771444,-98.41663667,1,47,1342,3.5
LAX,Los Angeles International,Los Angeles,CA,USA,33.94253611,-118.4080744,105,1898,221486,0.9
LBB,Lubbock International,Lubbock,TX,USA,33.66363889,-101.8227778,9,112,6373,1.8
LBE,Arnold Palmer Regional,Latrobe,PA,USA,40.27594000000001,-79.40479722,5,14,1090,1.3
LBF,North Platte Regional,North Platte,NE,USA,41.12621194,-100.6836542,1,7,569,1.2
LBL,Liberal Municipal,Liberal,KS,USA,37.04420944,-100.9598611,2,6,561,1.1
LCH,Lake Charles Regional,Lake Charles,LA,USA,30.1260975,-93.22340361,2,37,1940,1.9
LCK,Rickenbacker International,Columbus,OH,USA,39.81375917,-82.92786472,10,11,1084,1.0
LEX,Blue Grass,Lexington,KY,USA,38.03697222,-84.60538889,17,197,10097,2.0
LFT,Lafayette Regional,Lafayette,LA,USA,30.20527972,-91.987655,5,100,4560,2.2
LGA,LaGuardia,New York,NY,USA,40.77724306,-73.87260917,76,6971,171093,4.1
LGB,Long Beach (Daugherty),Long Beach,CA,USA,33.81772222,-118.1516111,18,96,16796,0.6
LIH,Lihue,Lihue,HI,USA,21.97598306,-159.3389581,13,66,14207,0.5
LIT,Adams,Little Rock,AR,USA,34.72939611,-92.22424556,15,170,13232,1.3
LNK,Lincoln Municipal,Lincoln,NE,USA,40.85097222,-96.75925,4,22,1780,1.2
LRD,Laredo International,Laredo,TX,USA,27.54373861,-99.46154361,3,54,2442,2.2
LSE,La Crosse Municipal,La Crosse,WI,USA,43.87937972,-91.25653778,2,59,2139,2.8
LWB,Greenbrier Valley,Lewisburg,WV,USA,37.85830556,-80.39947222,3,12,576,2.1
LWS,Lewiston-Nez Perce County,Lewiston,ID,USA,46.37449806,-117.01539440000002,1,1,717,0.1
LYH,Lynchburg Municipal-Preston Glenn,Lynchburg,VA,USA,37.32668528,-79.20043056,1,49,1066,4.6
MAF,Midland International,Midland,TX,USA,31.94252778,-102.2019139,7,156,8768,1.8
MBS,Mbs International,Saginaw,MI,USA,43.53291472,-84.07964722,3,50,2845,1.8
MCI,Kansas City International,Kansas City,MO,USA,39.29760528,-94.71390556,50,821,56195,1.5
MCO,Orlando International,Orlando,FL,USA,28.42888889,-81.31602778,93,1457,138296,1.1
MDT,Harrisburg Intl,Harrisburg,PA,USA,40.19349528,-76.76340361,13,171,6304,2.7
MDW,Chicago Midway,Chicago,IL,USA,41.7859825,-87.75242444,68,2020,87095,2.3
MEI,Key,Meridian,MS,USA,32.33313333,-88.75120556,3,20,1093,1.8
MEM,Memphis International,Memphis,TN,USA,35.04241667,-89.97666667,30,378,23038,1.6
MFE,McAllen Miller International,McAllen,TX,USA,26.17583333,-98.23861111,6,126,4610,2.7
MFR,Rogue Valley International,Medford,OR,USA,42.37422778,-122.8734978,9,90,4711,1.9
MGM,Montgomery Regional Apt,Montgomery,AL,USA,32.30064417,-86.39397611,4,75,4120,1.8
MHK,Manhattan Regional,Manhattan,KS,USA,39.14096722,-96.67083278,2,57,1834,3.1
MHT,Manchester,Manchester,NH,USA,42.93451639,-71.43705583,13,337,9726,3.5
MIA,Miami International,Miami,FL,USA,25.79325,-80.29055556,67,921,87880,1.0
MKE,General Mitchell International,Milwaukee,WI,USA,42.94722222,-87.89658333,42,522,32507,1.6
MKG,Muskegon County,Muskegon,MI,USA,43.16948806,-86.23822306,1,39,720,5.4
MLB,Melbourne International,Melbourne,FL,USA,28.10275,-80.64580556,2,28,2453,1.1
MLI,Quad City,Moline,IL,USA,41.44852639,-90.50753917,11,101,5048,2.0
MLU,Monroe Regional,Monroe,LA,USA,32.51086556,-92.03768778,3,38,3082,1.2
MMH,Mammoth Yosemite,Mammoth Lakes,CA,USA,37.62404861,-118.8377722,3,14,149,9.4
MOB,Mobile Regional,Mobile,AL,USA,30.69141667,-88.24283333,5,158,6566,2.4
MOT,Minot International,Minot,ND,USA,48.25937778,-101.2803339,5,44,2560,1.7
MQT,Marquette County Airport,,,USA,46.353639,-87.395361,3,54,1352,4.0
MRY,Monterey Peninsula,Monterey,CA,USA,36.5869825,-121.8429478,6,63,3911,1.6
MSN,Dane County Regional,Madison,WI,USA,43.13985778,-89.33751361,25,264,13183,2.0
MSO,Missoula International,Missoula,MT,USA,46.91630556,-114.0905556,13,16,3430,0.5
MSP,Minneapolis-St Paul Intl,Minneapolis,MN,USA,44.88054694,-93.2169225,132,1636,159375,1.0
MSY,New Orleans International,New Orleans,LA,USA,29.99338889,-90.25802778,51,662,55883,1.2
MTJ,Montrose Regional,Montrose,CO,USA,38.50886722,-107.89383329999998,12,33,1494,2.2
MVY,Marthas Vineyard,Marthas Vineyard,MA,USA,41.39302583,-70.61433249999997,4,10,492,2.0
MYR,Myrtle Beach International,Myrtle Beach,SC,USA,33.67975,-78.92833333,45,370,11602,3.2
OAJ,Albert J Ellis,Jacksonville,NC,USA,34.82916444,-77.61213778,2,146,3110,4.7
OAK,Metropolitan Oakland International,Oakland,CA,USA,37.72129083,-122.2207167,51,604,52676,1.1
OGD,Ogden-Hinckley,Ogden,UT,USA,41.19594417,-112.012175,3,1,126,0.8
OGG,Kahului,Kahului,HI,USA,20.89864972,-156.43045780000003,19,109,25418,0.4
OGS,Ogdensburg Intl,Ogdensburg,NY,USA,44.68185361,-75.46549917,2,11,137,8.0
OKC,Will Rogers World,Oklahoma City,OK,USA,35.39308833,-97.60073389,31,303,23268,1.3
OMA,Eppley Airfield,Omaha,NE,USA,41.30251861,-95.89417306,34,382,25020,1.5
OME,Nome,Nome,AK,USA,64.51220222,-165.4452458,2,30,721,4.2
ONT,Ontario International,Ontario,CA,USA,34.056,-117.6011944,18,158,21279,0.7
ORD,Chicago O'Hare International,Chicago,IL,USA,41.979595,-87.90446417,174,7136,332953,2.1
ORF,Norfolk International,Norfolk,VA,USA,36.89461111,-76.20122222,26,844,22785,3.7
ORH,Worcester Regional,Worcester,MA,USA,42.26733944,-71.87570944,3,40,964,4.1
OTH,North Bend Muni,North Bend,OR,USA,43.41713889,-124.2460278,2,14,371,3.8
OTZ,Ralph Wien Memorial,Kotzebue,AK,USA,66.88467694,-162.5985497,2,29,722,4.0
OWB,Owensboro-Daviess County,Owensboro,KY,USA,37.74011111,-87.16683333,1,4,111,3.6
PAH,Barkley Regional,Paducah,KY,USA,37.06083333,-88.77375,1,31,719,4.3
PBI,Palm Beach International,West Palm Beach,FL,USA,26.68316194,-80.09559417,26,442,25083,1.8
PDX,Portland Intl,Portland,OR,USA,45.58872222,-122.5975,56,382,63079,0.6
PGD,Charlotte County,Punta Gorda,FL,USA,26.92019444,-81.99052778,44,22,5223,0.4
PGV,Pitt-Greenville,Greenville,NC,USA,35.63523944,-77.38532028,1,69,896,7.7
PHF,Newport News/Williamsburg International,Newport News,VA,USA,37.13189556,-76.4929875,3,104,2669,3.9
PHL,Philadelphia Intl,Philadelphia,PA,USA,39.87195278,-75.24114083,86,3223,116946,2.8
PHX,Phoenix Sky Harbor International,Phoenix,AZ,USA,33.43416667,-112.0080556,101,1304,173962,0.7
PIA,Greater Peoria Regional,Peoria,IL,USA,40.66424333,-89.69330556,12,125,5348,2.3
PIB,Hattiesburg-Laurel Regional,Hattiesburg-Laurel,MS,USA,31.46714944,-89.33705778,1,19,729,2.6
PIE,St. Petersburg-Clearwater International,St. Petersburg,FL,USA,27.91076333,-82.68743944,59,47,7487,0.6
PIH,Pocatello Regional,Pocatello,ID,USA,42.91130556,-112.5958611,1,1,1262,0.1
PIT,Pittsburgh International,Pittsburgh,PA,USA,40.49146583,-80.23287083,48,956,49113,1.9
PLN,Pellston Regional  of Emmet County,Pellston,MI,USA,45.5709275,-84.796715,2,41,1027,4.0
PNS,Pensacola Regional,Pensacola,FL,USA,30.47330556,-87.18744444,17,201,11386,1.8
PPG,Pago Pago International,Pago Pago,AS,USA,14.33102278,-170.71052580000003,1,0,122,0.0
PRC,Ernest A. Love,Prescott,AZ,USA,34.65447222,-112.4195833,2,1,236,0.4
PSC,Tri-Cities,Pasco,WA,USA,46.26468028,-119.1190292,8,36,2886,1.2
PSE,Mercedita,Ponce,PR,USA,18.00830278,-66.56301194,2,13,792,1.6
PSG,James C. Johnson Petersburg,Petersburg,AK,USA,56.80165194,-132.9452781,2,10,724,1.4
PSM,Pease International Tradeport,Portsmouth,NH,USA,43.07795889,-70.82327333,4,6,303,2.0
PSP,Palm Springs International,Palm Springs,CA,USA,33.82921556,-116.5062531,15,86,10619,0.8
PUB,Pueblo Memorial,Pueblo,CO,USA,38.28908722,-104.4965722,2,8,902,0.9
PVD,Theodore F Green State,Providence,RI,USA,41.72399917,-71.42822111,25,553,18733,3.0
PVU,Provo Muni,Provo,UT,USA,40.21919444,-111.7233611,5,7,547,1.3
PWM,Portland International Jetport,Portland,ME,USA,43.64616667,-70.30875,17,494,12137,4.1
RAP,Rapid City Regional,Rapid City,SD,USA,44.04532139,-103.0573708,11,59,4247,1.4
RDD,Redding Municipal,Redding,CA,USA,40.50898361,-122.2934019,1,33,1169,2.8
RDM,Roberts,Redmond,OR,USA,44.25406722,-121.1499633,7,42,3773,1.1
RDU,Raleigh-Durham International,Raleigh,NC,USA,35.87763889,-78.78747222,57,1712,60724,2.8
RFD,Greater Rockford,Rockford,IL,USA,42.19536389,-89.09721111,5,6,673,0.9
RHI,Rhinelander-Oneida County,Rhinelander,WI,USA,45.63119306,-89.46745361,1,12,724,1.7
RIC,Richmond International,Richmond,VA,USA,37.50516667,-77.31966667,21,637,23224,2.7
RKS,Rock Springs-Sweetwater County,Rock Springs,WY,USA,41.5942175,-109.0651928,1,7,680,1.0
